Node Number	X Location (m)	Y Location (m)	Z Location (m)	
1	2.5e-002	3.0616e-018	0.	
2	2.4995e-002	5.0021e-004	0.	
3	2.498e-002	1.0002e-003	0.	
4	2.4955e-002	1.4998e-003	0.	
5	2.492e-002	1.9988e-003	0.	
6	2.4875e-002	2.497e-003	0.	
7	2.482e-002	2.9942e-003	0.	
8	2.4755e-002	3.4903e-003	0.	
9	2.468e-002	3.9849e-003	0.	
10	2.4596e-002	4.4779e-003	0.	
11	2.4501e-002	4.9691e-003	0.	
12	2.4397e-002	5.4583e-003	0.	
13	2.4283e-002	5.9454e-003	0.	
14	2.4159e-002	6.43e-003	0.	
15	2.4025e-002	6.9121e-003	0.	
16	2.3882e-002	7.3915e-003	0.	
17	2.373e-002	7.8678e-003	0.	
18	2.3567e-002	8.341e-003	0.	
19	2.3396e-002	8.8109e-003	0.	
20	2.3215e-002	9.2773e-003	0.	
21	2.3025e-002	9.7399e-003	0.	
22	2.2825e-002	1.0199e-002	0.	
23	2.2617e-002	1.0653e-002	0.	
24	2.2399e-002	1.1104e-002	0.	
25	2.2172e-002	1.155e-002	0.	
26	2.1937e-002	1.1991e-002	0.	
27	2.1692e-002	1.2427e-002	0.	
28	2.1439e-002	1.2859e-002	0.	
29	2.1178e-002	1.3285e-002	0.	
30	2.0908e-002	1.3706e-002	0.	
31	2.0629e-002	1.4122e-002	0.	
32	2.0343e-002	1.4532e-002	0.	
33	2.0048e-002	1.4936e-002	0.	
34	1.9745e-002	1.5334e-002	0.	
35	1.9434e-002	1.5726e-002	0.	
36	1.9116e-002	1.6112e-002	0.	
37	1.8789e-002	1.6491e-002	0.	
38	1.8456e-002	1.6864e-002	0.	
39	1.8115e-002	1.723e-002	0.	
40	1.7766e-002	1.7589e-002	0.	
41	1.7411e-002	1.7941e-002	0.	
42	1.7048e-002	1.8285e-002	0.	
43	1.6679e-002	1.8623e-002	0.	
44	1.6303e-002	1.8953e-002	0.	
45	1.5921e-002	1.9275e-002	0.	
46	1.5532e-002	1.959e-002	0.	
47	1.5137e-002	1.9897e-002	0.	
48	1.4736e-002	2.0196e-002	0.	
49	1.4329e-002	2.0486e-002	0.	
50	1.3916e-002	2.0769e-002	0.	
51	1.3497e-002	2.1043e-002	0.	
52	1.3074e-002	2.1309e-002	0.	
53	1.2645e-002	2.1566e-002	0.	
54	1.2211e-002	2.1815e-002	0.	
55	1.1772e-002	2.2055e-002	0.	
56	1.1328e-002	2.2286e-002	0.	
57	1.088e-002	2.2508e-002	0.	
58	1.0427e-002	2.2722e-002	0.	
59	9.9707e-003	2.2926e-002	0.	
60	9.51e-003	2.3121e-002	0.	
61	9.0454e-003	2.3306e-002	0.	
62	8.5773e-003	2.3483e-002	0.	
63	8.1058e-003	2.3649e-002	0.	
64	7.6309e-003	2.3807e-002	0.	
65	7.1531e-003	2.3955e-002	0.	
66	6.6724e-003	2.4093e-002	0.	
67	6.189e-003	2.4222e-002	0.	
68	5.7031e-003	2.4341e-002	0.	
